date,symbol,close,volume,sector
2022-01-03,AAPL,149.7799,6950527,Technology
2022-01-03,AMZN,118.9773,2807795,Technology
2022-01-03,AVGO,622.6922,5572318,Technology
2022-01-03,GOOGL,109.6853,6957454,Technology
2022-01-03,META,334.3775,15282439,Technology
2022-01-03,MSFT,306.363,11462521,Technology
2022-01-03,NFLX,398.3537,19799631,Technology
2022-01-03,NVDA,199.4523,12583806,Technology
2022-01-03,ORCL,89.5172,15019538,Technology
2022-01-03,TSLA,243.9537,9727633,Technology
2022-01-04,AAPL,149.4997,6017793,Technology
2022-01-04,AMZN,119.4283,16727094,Technology
2022-01-04,AVGO,617.807,19503699,Technology
2022-01-04,GOOGL,109.4361,4589348,Technology
2022-01-04,META,331.1626,15630423,Technology
2022-01-04,MSFT,306.5,15844961,Technology
2022-01-04,NFLX,397.2234,5841461,Technology
2022-01-04,NVDA,206.3461,19743766,Technology
2022-01-04,ORCL,90.4976,5706471,Technology
2022-01-04,TSLA,238.2085,12208556,Technology
2022-01-05,AAPL,149.3149,18059232,Technology
2022-01-05,AMZN,120.0868,15639208,Technology
2022-01-05,AVGO,618.1457,7996648,Technology
2022-01-05,GOOGL,107.5153,2698085,Technology
2022-01-05,META,329.6307,8741425,Technology
2022-01-05,MSFT,307.3468,19502835,Technology
2022-01-05,NFLX,394.3472,4085689,Technology
2022-01-05,NVDA,203.2635,12305695,Technology
2022-01-05,ORCL,90.6614,5502834,Technology
2022-01-05,TSLA,232.3591,3156792,Technology
2022-01-06,AAPL,146.267,3564898,Technology
2022-01-06,AMZN,122.0122,17349754,Technology
2022-01-06,AVGO,613.2069,19278439,Technology
2022-01-06,GOOGL,105.9879,18012335,Technology
2022-01-06,META,328.2083,7339065,Technology
2022-01-06,MSFT,306.0996,13562094,Technology
2022-01-06,NFLX,389.6233,6227001,Technology
2022-01-06,NVDA,206.517,16549878,Technology
2022-01-06,ORCL,91.3726,17724910,Technology
2022-01-06,TSLA,238.2802,5010482,Technology
2022-01-07,AAPL,145.9031,5935483,Technology
2022-01-07,AMZN,122.5896,19080936,Technology
2022-01-07,AVGO,621.7767,15784816,Technology
2022-01-07,GOOGL,105.4512,15423496,Technology
2022-01-07,META,330.733,2682320,Technology
2022-01-07,MSFT,300.539,8201266,Technology
2022-01-07,NFLX,398.8328,7914572,Technology
2022-01-07,NVDA,212.1925,8047414,Technology
2022-01-07,ORCL,90.5694,18206377,Technology
2022-01-07,TSLA,245.321,12563646,Technology
2022-01-10,AAPL,146.2201,11096395,Technology
2022-01-10,AMZN,123.0915,18681134,Technology
2022-01-10,AVGO,620.47,16426813,Technology
2022-01-10,GOOGL,106.5038,18575029,Technology
2022-01-10,META,334.2795,18621364,Technology
2022-01-10,MSFT,302.513,17803282,Technology
2022-01-10,NFLX,398.4521,11811138,Technology
2022-01-10,NVDA,216.4789,11049833,Technology
2022-01-10,ORCL,89.3163,11867699,Technology
2022-01-10,TSLA,246.9399,7282523,Technology
2022-01-11,AAPL,147.6447,13697919,Technology
2022-01-11,AMZN,125.7719,2247199,Technology
2022-01-11,AVGO,614.9803,2015177,Technology
2022-01-11,GOOGL,106.7988,16712946,Technology
2022-01-11,META,321.8452,15306601,Technology
2022-01-11,MSFT,303.7265,5275336,Technology
2022-01-11,NFLX,402.0436,3434184,Technology
2022-01-11,NVDA,217.0577,13066901,Technology
2022-01-11,ORCL,89.4305,13592000,Technology
2022-01-11,TSLA,251.1318,19372614,Technology
2022-01-12,AAPL,147.9543,11808946,Technology
2022-01-12,AMZN,122.914,14488314,Technology
2022-01-12,AVGO,616.7745,4654838,Technology
2022-01-12,GOOGL,106.6409,7454989,Technology
2022-01-12,META,313.3899,7916417,Technology
2022-01-12,MSFT,298.3375,19392763,Technology
2022-01-12,NFLX,412.753,13643173,Technology
2022-01-12,NVDA,212.9009,8540017,Technology
2022-01-12,ORCL,88.3534,5843246,Technology
2022-01-12,TSLA,243.1991,8340560,Technology
2022-01-13,AAPL,148.546,16569748,Technology
2022-01-13,AMZN,124.7121,2409466,Technology
2022-01-13,AVGO,623.2487,3446754,Technology
2022-01-13,GOOGL,106.3256,14531291,Technology
2022-01-13,META,311.9645,15688889,Technology
2022-01-13,MSFT,290.7142,2997431,Technology
2022-01-13,NFLX,414.4351,4337794,Technology
2022-01-13,NVDA,208.0187,17252013,Technology
2022-01-13,ORCL,88.6919,13740273,Technology
2022-01-13,TSLA,247.0338,7808260,Technology
2022-01-14,AAPL,151.3542,2116977,Technology
2022-01-14,AMZN,126.2541,5762171,Technology
2022-01-14,AVGO,617.8641,6251304,Technology
2022-01-14,GOOGL,108.1844,3767913,Technology
2022-01-14,META,320.4242,11375711,Technology
2022-01-14,MSFT,294.2725,4234900,Technology
2022-01-14,NFLX,414.1813,15489384,Technology
2022-01-14,NVDA,210.285,16168692,Technology
2022-01-14,ORCL,89.1057,7405764,Technology
2022-01-14,TSLA,247.8353,16236134,Technology
2022-01-17,AAPL,152.5643,8124509,Technology
2022-01-17,AMZN,124.8967,11418785,Technology
2022-01-17,AVGO,619.3846,6405185,Technology
2022-01-17,GOOGL,108.8146,19535949,Technology
2022-01-17,META,329.2154,7192191,Technology
2022-01-17,MSFT,295.7331,7807893,Technology
2022-01-17,NFLX,413.8682,14092595,Technology
2022-01-17,NVDA,213.536,7172400,Technology
2022-01-17,ORCL,90.0418,13224729,Technology
2022-01-17,TSLA,246.4023,13825183,Technology
2022-01-18,AAPL,149.5436,4798630,Technology
2022-01-18,AMZN,124.6075,6655844,Technology
2022-01-18,AVGO,623.7876,14324844,Technology
2022-01-18,GOOGL,108.2094,9975991,Technology
2022-01-18,META,328.0278,2426479,Technology
